Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
BOSMET;2140174;AUTORISE;GRITCHE;EFILOR;2120206;EFILOR;AMM n° 0420F/12;Lituanie;Selon le produit de référence français;
CIRU;2170060;AUTORISE;GRITCHE;SKYWAY XPRO;2110181;SKYWAY XPRO;AMM n° 006998-00;Allemagne;Selon le produit de référence français;
TOPDICOTS;2140034;AUTORISE;TOP SAS;CALLISTO;9900047;CALLISTO;AMM n° 11253;Italie;Selon le produit de référence français;
TOPDICOTS;2140034;AUTORISE;TOP SAS;CALLISTO;9900047;CALLISTO;AMM n° 9308/B;Belgique;Selon le produit de référence français;
DIPYR;2161065;AUTORISE;GRITCHE;SARI PLUS;2140188;VISION PLUS;AMM n° 15566;Italie;Selon le produit de référence français;
DIPYR;2161065;AUTORISE;GRITCHE;SARI PLUS;2140188;FABAN;AMM n° 10425 P/B;Belgique;Selon le produit de référence français;
GARELIS PLUS;2150747;AUTORISE;GRITCHE;REGALIS PLUS;2150008;REGALIS PLUS;AMM n° 14343N;Pays-Bas;Selon le produit de référence français;
GARELIS PLUS;2150747;AUTORISE;GRITCHE;REGALIS PLUS;2150008;REGALIS PLUS;AMM n° 007727;Allemagne;Selon le produit de référence français;
GARELIS PLUS;2150747;AUTORISE;GRITCHE;REGALIS PLUS;2150008;REGALIS PLUS;AMM n° 10293 P/B;Belgique;Selon le produit de référence français;
GARELIS PLUS;2150747;AUTORISE;GRITCHE;REGALIS PLUS;2150008;REGALIS PLUS 10 WG;AMM n° R-20/2015;Pologne;Selon le produit de référence français;
GARELIS PLUS;2150747;AUTORISE;GRITCHE;REGALIS PLUS;2150008;REGALIS PLUS;AMM n° 04.2/3912-1/2014;Hongrie;Selon le produit de référence français;
PROXAFEN;2160401;AUTORISE;EUROFYTO NV;AVIATOR XPRO;2110178;AVIATOR XPRO;AMM n° 026764-00;Allemagne;Selon le produit de référence français;
INSEGAR CAZO;2150310;RETIRE;M. CAZORLA S.L;INSEGAR;8400477;INSEGAR;AMM n° 17337;Espagne;Selon le produit de référence français;
SVEVO;2170327;AUTORISE;TRIASEM;NEGEV;2160064;SEEDRON;AMM n° 16152;Italie;Selon le produit de référence français;
